,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
0,WASP-183,b,[Fe/H],Transit,1,4.1117771,0.04632,,85.37,0.502,1.47,0.21,1111.0,,5313.0,0.784,0.87,14.9,,3
1,Qatar-7,b,[Fe/H],Transit,1,2.032046,0.0352,0.0,89.0,1.88,1.7,0.502,2053.0,,6387.0,1.409,1.56,1.69,0.563,3
2,K2-63,c,,Transit,2,25.4556,0.189,,,,0.348,,,139.0,6771.0,1.4,1.63,,,3
3,TOI-172,b,[Fe/H],Transit,1,9.47725,0.0914,0.3806,88.2,5.42,0.965,7.53,1198.0,299.0,5645.0,1.128,1.78,7.4,0.461,3
4,K2-293,b,[M/H],Transit,1,13.1225,,,88.8,,0.219,,750.0,,5532.0,0.958,0.95,,,3
5,K2-294,b,[M/H],Transit,1,2.50387,,,85.5,,0.148,,1425.0,,5612.0,0.987,1.2,,,3
6,KOI-1599,b,,Transit,2,13.6088,0.112293,0.0114,88.6,0.02832,0.17,,,,,1.02,0.97,,,3
7,KOI-1599,c,,Transit,2,20.4415,0.14728,0.014,89.78,0.01447,0.17,,,,,1.02,0.97,,,3
8,GJ 685,b,[Fe/H],Radial Velocity,1,24.16,0.1344,0.0,,,,,,,3816.0,0.55,0.54,,-1.253,3
9,HD 13724,b,[Fe/H],Radial Velocity,1,14763.405,12.4,0.34,,,,,,,5868.0,1.14,1.07,0.76,,3
10,HD 181234,b,[Fe/H],Radial Velocity,1,7462.0575,7.52,0.73,,,,,,,5386.0,1.01,1.05,6.32,,3
11,HD 25015,b,[Fe/H],Radial Velocity,1,6019.32,6.19,0.39,,,,,,,5160.0,0.86,0.83,4.0,,3
12,HD 92987,b,[Fe/H],Radial Velocity,1,10354.8375,9.62,0.21,,,,,,,5770.0,1.08,1.58,7.75,,3
13,HD 50499,c,[Fe/H],Radial Velocity,2,8619.9,9.02,0.0,,,,,,,6099.0,1.31,1.42,2.4,,3
14,HD 92788,b,[Fe/H],Radial Velocity,2,325.803,0.97,0.35,,,,,,,5744.0,1.15,1.14,2.55,,3
